Parameter S1 S1_conf ST ST_conf
k130 -0.002356 0.004776 0.000630 0.001275
k131 -0.000001 0.000002 0.000000 0.000000
k132 -0.000002 0.000003 0.000000 0.000000
k133 -0.000005 0.000008 0.000000 0.000000
k134 -0.000001 0.000002 0.000000 0.000000
k135 0.000001 0.000004 0.000000 0.000000
k136 0.000002 0.000509 0.000008 0.000004
k137 -0.000001 0.000008 0.000000 0.000000
k138 0.001538 0.002900 0.000182 0.000151
k139 0.000571 0.001275 0.000040 0.000016
k140 0.000037 0.002308 0.000179 0.000052
k141 -0.000012 0.000020 0.000000 0.000000
k142 -0.000193 0.000590 0.000012 0.000005
k143 -0.000002 0.000006 0.000000 0.000000
k144 -0.000004 0.000005 0.000000 0.000000
k145 0.000003 0.000010 0.000000 0.000000
k146 -0.000031 0.000086 0.000000 0.000000
k147 -0.000001 0.000045 0.000000 0.000000
k148 0.000439 0.000770 0.000018 0.000011
k149 0.000024 0.000068 0.000000 0.000000
k150 -0.000507 0.000880 0.000024 0.000008
k151 -0.000000 0.000007 0.000000 0.000000
k152 -0.000001 0.000003 0.000000 0.000000
k153 -0.000002 0.000003 0.000000 0.000000
k154 0.000006 0.000008 0.000000 0.000000
k155 -0.000006 0.000010 0.000000 0.000000
k156 -0.000006 0.000012 0.000000 0.000000
k157 0.000207 0.000685 0.000014 0.000006
k158 -0.000055 0.000062 0.000000 0.000000
k159 -0.001181 0.003602 0.000346 0.000194
k160 0.000952 0.001990 0.000124 0.000043
k161 -0.001313 0.004262 0.000493 0.000294
k162 0.000025 0.000048 0.000000 0.000000
k163 -0.000533 0.000699 0.000017 0.000010
k164 -0.000011 0.000031 0.000000 0.000000
k165 -0.002355 0.004777 0.000630 0.001275
k166 -0.000001 0.000010 0.000000 0.000000
k167 0.000008 0.000219 0.000002 0.000002
k168 -0.000024 0.000138 0.000001 0.000001
k169 0.000119 0.000958 0.000024 0.000014
k170 -0.000148 0.000342 0.000006 0.000007
k171 -0.000946 0.001531 0.000083 0.000038
k172 -0.000017 0.000078 0.000001 0.000001
k173 -0.004806 0.008830 0.002526 0.004647
k174 -0.000544 0.001088 0.000022 0.000043
k175 0.000012 0.000081 0.000000 0.000000
k176 -0.000000 0.000119 0.000000 0.000000
k177 -0.000015 0.000012 0.000000 0.000000
k178 -0.000397 0.001058 0.000039 0.000014
k179 0.000455 0.001299 0.000062 0.000034
k180 0.000051 0.000395 0.000006 0.000004
k181 -0.004135 0.010377 0.003267 0.000590
k182 0.000000 0.000000 0.000000 0.000000
k183 -0.000070 0.000291 0.000003 0.000001
k184 -0.000038 0.001274 0.000069 0.000032
k185 0.000332 0.000490 0.000007 0.000003
k186 -0.000394 0.000617 0.000016 0.000010
k187 -0.000012 0.000082 0.000000 0.000000
k188 -0.000556 0.001072 0.000036 0.000014
k189 0.000081 0.000517 0.000014 0.000006
k190 -0.000560 0.001892 0.000182 0.000091
k191 0.000012 0.001235 0.000042 0.000014
k192 0.001401 0.005512 0.001007 0.000225
k193 0.001675 0.002219 0.000117 0.000041
k194 -0.000338 0.000342 0.000003 0.000002
k195 -0.000001 0.000012 0.000000 0.000000
k196 0.000018 0.000060 0.000000 0.000000
k197 -0.000021 0.000085 0.000000 0.000000
k198 -0.000011 0.000011 0.000000 0.000000
k199 -0.000190 0.000600 0.000015 0.000005
k200 0.000444 0.000690 0.000018 0.000009
k201 0.000187 0.000483 0.000004 0.000003
k202 0.000000 0.000000 0.000000 0.000000
k203 0.004398 0.008948 0.002853 0.000523
k204 -0.000235 0.000386 0.000005 0.000001
k205 -0.000941 0.002944 0.000313 0.000511
k206 -0.000239 0.000264 0.000003 0.000002
k207 -0.000517 0.000830 0.000018 0.000018
k208 -0.000005 0.000079 0.000000 0.000000
k209 -0.000175 0.000738 0.000016 0.000005
k210 -0.000449 0.000582 0.000022 0.000022
k211 -0.000102 0.002297 0.000171 0.000071
k212 -0.000101 0.001202 0.000049 0.000018
k213 -0.000605 0.004704 0.000911 0.000192
k214 -0.001405 0.002230 0.000144 0.000048
k215 -0.000153 0.000558 0.000011 0.000012
k216 0.000003 0.000020 0.000000 0.000000
k217 -0.000003 0.000003 0.000000 0.000000
k218 0.000004 0.000008 0.000000 0.000000
k219 -0.000003 0.000004 0.000000 0.000000
k220 0.000002 0.000026 0.000000 0.000000
k221 0.000000 0.000000 0.000000 0.000000
k222 -0.000001 0.000002 0.000000 0.000000
k223 0.001861 0.001095 0.000040 0.000015
k224 0.000642 0.000705 0.000021 0.000012
k225 0.000113 0.000158 0.000001 0.000001
k226 -0.000176 0.000481 0.000007 0.000012
k227 -0.000247 0.000444 0.000006 0.000012
k228 -0.000012 0.000075 0.000000 0.000000
k229 -0.000006 0.000011 0.000000 0.000000
k230 -0.000002 0.000207 0.000001 0.000001
k231 -0.000003 0.000056 0.000000 0.000000
k232 0.000408 0.000522 0.000009 0.000008
k233 0.000199 0.000472 0.000009 0.000004
k234 -0.000003 0.000472 0.000009 0.000003
k235 -0.000878 0.001386 0.000095 0.000175
k236 0.000056 0.000202 0.000002 0.000001
k237 -0.000001 0.000003 0.000000 0.000000
k238 -0.000022 0.000024 0.000000 0.000000
k239 0.000011 0.000020 0.000000 0.000000
k240 0.000000 0.000008 0.000000 0.000000
k241 0.000000 0.000000 0.000000 0.000000
k242 -0.000281 0.000518 0.000009 0.000017
k243 -0.000039 0.000060 0.000000 0.000000
k244 0.000251 0.000694 0.000018 0.000012
k245 -0.000152 0.000815 0.000026 0.000009
k246 -0.000005 0.000034 0.000000 0.000000
k247 -0.000040 0.000306 0.000003 0.000002
k248 -0.001144 0.001970 0.000297 0.000609
k249 -0.000004 0.000006 0.000000 0.000000
k250 -0.000000 0.000013 0.000000 0.000000
k251 0.000152 0.000182 0.000002 0.000003
k252 -0.000093 0.000101 0.000001 0.000000
k253 -0.000036 0.000059 0.000000 0.000000
k254 -0.000066 0.000274 0.000002 0.000002
k255 -0.000047 0.000275 0.000003 0.000001
k256 -0.000007 0.000059 0.000000 0.000000
k257 -0.000236 0.000442 0.000006 0.000012
k258 -0.000001 0.000006 0.000000 0.000000
k259 -0.000034 0.000060 0.000000 0.000000
k260 -0.000023 0.000029 0.000000 0.000000
k261 -0.000002 0.000004 0.000000 0.000000
k262 0.000026 0.000127 0.000001 0.000000
k263 0.000021 0.000056 0.000000 0.000000
k264 -0.000017 0.000036 0.000000 0.000000
k265 -0.000159 0.001185 0.000046 0.000017
k266 0.000063 0.000585 0.000012 0.000003
