Parameter S1 S1_conf ST ST_conf
k131 -0.000000 0.000001 0.000000 0.000000
k132 0.000002 0.000005 0.000000 0.000000
k133 -0.000010 0.000084 0.000000 0.000000
k134 -0.000001 0.000001 0.000000 0.000000
k135 -0.000007 0.000110 0.000000 0.000000
k136 0.001243 0.002394 0.000097 0.000034
k137 0.000007 0.000020 0.000000 0.000000
k138 -0.001581 0.010246 0.001692 0.000510
k139 -0.000310 0.004034 0.000304 0.000079
k140 0.006365 0.009678 0.001973 0.000448
k141 -0.000149 0.000333 0.000001 0.000002
k142 -0.000120 0.001869 0.000067 0.000033
k143 -0.000000 0.000008 0.000000 0.000000
k144 0.000004 0.000011 0.000000 0.000000
k145 0.000007 0.000010 0.000000 0.000000
k146 0.000036 0.000081 0.000000 0.000000
k147 -0.000090 0.000142 0.000000 0.000000
k148 -0.000121 0.002386 0.000115 0.000061
k149 0.000198 0.000231 0.000001 0.000000
k150 -0.000533 0.003360 0.000225 0.000047
k151 0.000012 0.000028 0.000000 0.000000
k152 -0.000001 0.000001 0.000000 0.000000
k153 0.000002 0.000004 0.000000 0.000000
k154 0.000010 0.000042 0.000000 0.000000
k155 0.000008 0.000032 0.000000 0.000000
k156 -0.000072 0.000197 0.000001 0.000001
k157 0.000389 0.002942 0.000159 0.000063
k158 -0.000106 0.000277 0.000001 0.000001
k159 0.008868 0.018050 0.009320 0.016133
k160 0.001267 0.006188 0.000803 0.000216
k161 -0.001032 0.011173 0.002562 0.000663
k162 0.000044 0.000212 0.000001 0.000001
k163 -0.000212 0.002575 0.000106 0.000036
k164 0.000008 0.000117 0.000000 0.000000
k165 0.016897 0.033824 0.022558 0.045095
k166 -0.000009 0.000040 0.000000 0.000000
k167 -0.000117 0.000318 0.000002 0.000001
k168 -0.000002 0.000384 0.000002 0.000002
k169 0.002097 0.002871 0.000140 0.000042
k170 -0.000004 0.000686 0.000014 0.000016
k171 0.002614 0.004481 0.000427 0.000134
k172 0.000191 0.000437 0.000003 0.000003
k173 0.014851 0.028312 0.022670 0.043242
k174 0.008215 0.016326 0.008127 0.016142
k175 -0.000326 0.001035 0.000014 0.000010
k176 0.000068 0.000177 0.000001 0.000001
k177 -0.000180 0.000582 0.000006 0.000004
k178 -0.001257 0.002555 0.000109 0.000038
k179 -0.003421 0.004442 0.000349 0.000171
k180 -0.000131 0.001189 0.000028 0.000014
k181 -0.000821 0.028275 0.013990 0.003289
k182 0.000000 0.000000 0.000000 0.000000
k183 -0.000046 0.000704 0.000007 0.000003
k184 0.001732 0.003980 0.000293 0.000081
k185 -0.000214 0.000759 0.000011 0.000006
k186 0.000650 0.001253 0.000033 0.000021
k187 -0.000105 0.000178 0.000001 0.000000
k188 0.000573 0.001545 0.000040 0.000015
k189 0.000287 0.000756 0.000010 0.000005
k190 0.004117 0.005297 0.000486 0.000172
k191 0.000822 0.003011 0.000141 0.000059
k192 -0.000093 0.010999 0.002190 0.000372
k193 -0.000386 0.003049 0.000174 0.000061
k194 0.000417 0.000639 0.000008 0.000006
k195 -0.000011 0.000018 0.000000 0.000000
k196 -0.000445 0.000765 0.000008 0.000004
k197 0.000031 0.000082 0.000000 0.000000
k198 0.000235 0.000597 0.000008 0.000006
k199 0.002143 0.002135 0.000072 0.000029
k200 -0.002407 0.002171 0.000100 0.000056
k201 -0.000774 0.001096 0.000018 0.000006
k202 0.000000 0.000000 0.000000 0.000000
k203 -0.004157 0.028175 0.013823 0.003046
k204 -0.000132 0.000625 0.000007 0.000003
k205 0.020173 0.034302 0.022068 0.041071
k206 0.000408 0.000481 0.000005 0.000002
k207 -0.000006 0.000982 0.000023 0.000016
k208 0.000033 0.000147 0.000000 0.000000
k209 -0.000177 0.000615 0.000007 0.000002
k210 0.000170 0.000696 0.000007 0.000004
k211 0.003493 0.005225 0.000491 0.000165
k212 0.000117 0.003495 0.000209 0.000143
k213 0.004379 0.010325 0.001863 0.000304
k214 -0.002159 0.005969 0.000634 0.000242
k215 0.020817 0.039922 0.019438 0.037048
k216 -0.000043 0.000039 0.000000 0.000000
k217 -0.000013 0.000044 0.000000 0.000000
k218 -0.000014 0.000011 0.000000 0.000000
k219 0.000008 0.000035 0.000000 0.000000
k220 0.000018 0.000083 0.000000 0.000000
k221 0.000000 0.000000 0.000000 0.000000
k222 -0.000001 0.000003 0.000000 0.000000
k223 -0.002528 0.002771 0.000126 0.000046
k224 -0.003390 0.002164 0.000086 0.000043
k225 -0.000101 0.000185 0.000001 0.000000
k226 0.021026 0.039928 0.019440 0.037048
k227 0.020968 0.039940 0.019435 0.037048
k228 0.000015 0.000143 0.000000 0.000000
k229 0.000009 0.000023 0.000000 0.000000
k230 -0.000011 0.000195 0.000001 0.000000
k231 -0.000046 0.000115 0.000000 0.000000
k232 -0.000313 0.000861 0.000012 0.000006
k233 -0.000486 0.000835 0.000012 0.000004
k234 -0.000181 0.001421 0.000032 0.000015
k235 0.020445 0.040253 0.020448 0.039266
k236 -0.000033 0.000094 0.000000 0.000000
k237 -0.000001 0.000003 0.000000 0.000000
k238 -0.000132 0.000313 0.000002 0.000004
k239 -0.000010 0.000032 0.000000 0.000000
k240 0.000060 0.000466 0.000005 0.000004
k241 0.000000 0.000000 0.000000 0.000000
k242 0.000787 0.001587 0.000063 0.000122
k243 0.000002 0.000188 0.000001 0.000001
k244 0.000714 0.001736 0.000048 0.000015
k245 0.000906 0.001873 0.000068 0.000016
k246 0.000024 0.000062 0.000000 0.000000
k247 -0.000408 0.000720 0.000010 0.000004
k248 0.045251 0.061664 0.032576 0.044952
k249 0.000007 0.000010 0.000000 0.000000
k250 -0.000005 0.000039 0.000000 0.000000
k251 -0.000123 0.000193 0.000001 0.000001
k252 0.000030 0.000139 0.000001 0.000001
k253 0.000060 0.000269 0.000001 0.000002
k254 0.000070 0.000305 0.000002 0.000001
k255 -0.000396 0.000756 0.000011 0.000006
k256 0.000042 0.000196 0.000000 0.000000
k257 0.020947 0.039942 0.019435 0.037048
k258 -0.000009 0.000017 0.000000 0.000000
k259 0.000064 0.000560 0.000007 0.000007
k260 0.000001 0.000033 0.000000 0.000000
k261 -0.000068 0.000162 0.000000 0.000000
k262 0.000296 0.000381 0.000003 0.000001
k263 0.000051 0.000165 0.000001 0.000000
k264 -0.000002 0.000130 0.000000 0.000000
k265 0.000040 0.002923 0.000137 0.000034
k266 0.001191 0.001613 0.000043 0.000009
k267 -0.000164 0.000443 0.000004 0.000002
k268 -0.000405 0.000841 0.000015 0.000009
k269 -0.000144 0.000119 0.000000 0.000000
k270 0.000053 0.000171 0.000001 0.000000
k271 0.000027 0.000054 0.000000 0.000000
