Parameter S1 S1_conf ST ST_conf
k131 0.000004 0.000007 0.000000 0.000000
k132 0.000004 0.000007 0.000000 0.000000
k133 0.000023 0.000068 0.000000 0.000000
k134 0.000004 0.000007 0.000000 0.000000
k135 -0.000025 0.000072 0.000000 0.000000
k136 -0.000130 0.000889 0.000022 0.000007
k137 0.000009 0.000015 0.000000 0.000000
k138 0.001807 0.005472 0.000628 0.000183
k139 -0.000316 0.002009 0.000103 0.000038
k140 0.003060 0.004759 0.000597 0.000156
k141 0.000007 0.000088 0.000000 0.000000
k142 -0.000276 0.001107 0.000029 0.000012
k143 0.000004 0.000009 0.000000 0.000000
k144 0.000003 0.000007 0.000000 0.000000
k145 -0.000012 0.000025 0.000000 0.000000
k146 -0.000004 0.000091 0.000000 0.000000
k147 0.000029 0.000056 0.000000 0.000000
k148 -0.000464 0.001318 0.000049 0.000018
k149 0.000097 0.000129 0.000000 0.000000
k150 -0.000379 0.001717 0.000080 0.000018
k151 0.000016 0.000014 0.000000 0.000000
k152 0.000004 0.000007 0.000000 0.000000
k153 0.000004 0.000007 0.000000 0.000000
k154 0.000038 0.000047 0.000000 0.000000
k155 -0.000002 0.000023 0.000000 0.000000
k156 0.000020 0.000269 0.000002 0.000002
k157 -0.000613 0.001981 0.000093 0.000032
k158 -0.000094 0.000212 0.000001 0.000001
k159 -0.002009 0.006182 0.000982 0.000354
k160 -0.002097 0.004754 0.000736 0.000200
k161 -0.005322 0.009187 0.002215 0.000596
k162 -0.000034 0.000100 0.000000 0.000000
k163 -0.001356 0.001381 0.000055 0.000023
k164 -0.000133 0.000166 0.000001 0.000001
k165 0.002091 0.004255 0.000666 0.001356
k166 -0.000056 0.000412 0.000007 0.000008
k167 -0.000062 0.000951 0.000018 0.000024
k168 -0.000375 0.000660 0.000010 0.000010
k169 0.000619 0.002369 0.000128 0.000064
k170 -0.000231 0.000520 0.000012 0.000011
k171 -0.000205 0.003370 0.000348 0.000108
k172 0.000158 0.000292 0.000002 0.000002
k173 0.000976 0.001875 0.000202 0.000387
k174 0.000823 0.001671 0.000068 0.000138
k175 -0.000419 0.001202 0.000028 0.000036
k176 -0.000029 0.000140 0.000001 0.000000
k177 -0.000129 0.000366 0.000004 0.000001
k178 0.000219 0.001501 0.000073 0.000020
k179 0.002851 0.003065 0.000226 0.000099
k180 -0.000063 0.000914 0.000017 0.000012
k181 -0.000237 0.017702 0.008944 0.001893
k182 0.000000 0.000000 0.000000 0.000000
k183 -0.000004 0.000333 0.000004 0.000002
k184 -0.000546 0.003002 0.000229 0.000087
k185 0.000763 0.001016 0.000027 0.000012
k186 -0.001022 0.001638 0.000070 0.000120
k187 -0.000263 0.001363 0.000063 0.000044
k188 -0.000552 0.001605 0.000070 0.000027
k189 0.000178 0.000729 0.000014 0.000007
k190 -0.003573 0.004424 0.000700 0.000311
k191 -0.000259 0.003049 0.000210 0.000141
k192 0.006197 0.013689 0.004794 0.001389
k193 0.000883 0.004895 0.000561 0.000224
k194 -0.000161 0.000346 0.000003 0.000002
k195 0.000030 0.000023 0.000000 0.000000
k196 -0.000240 0.000653 0.000011 0.000007
k197 -0.000010 0.000085 0.000000 0.000000
k198 0.000073 0.000354 0.000004 0.000002
k199 0.000120 0.001107 0.000033 0.000011
k200 0.002015 0.002506 0.000176 0.000188
k201 -0.000020 0.000693 0.000011 0.000004
k202 0.000000 0.000000 0.000000 0.000000
k203 -0.006148 0.017867 0.008616 0.002031
k204 -0.000643 0.000839 0.000018 0.000010
k205 -0.001743 0.002878 0.000189 0.000061
k206 -0.000258 0.000752 0.000016 0.000009
k207 -0.000447 0.001161 0.000033 0.000021
k208 -0.000190 0.001330 0.000042 0.000017
k209 -0.000049 0.000670 0.000012 0.000005
k210 -0.000529 0.000922 0.000027 0.000018
k211 -0.003681 0.005903 0.000875 0.000306
k212 -0.001226 0.003420 0.000274 0.000159
k213 0.000807 0.013573 0.005020 0.001675
k214 -0.000348 0.005238 0.000694 0.000332
k215 0.003069 0.006169 0.000810 0.001621
k216 0.000001 0.000018 0.000000 0.000000
k217 -0.000001 0.000037 0.000000 0.000000
k218 0.000009 0.000014 0.000000 0.000000
k219 -0.000003 0.000025 0.000000 0.000000
k220 -0.000001 0.000063 0.000000 0.000000
k221 0.000000 0.000000 0.000000 0.000000
k222 0.000004 0.000007 0.000000 0.000000
k223 0.002008 0.002113 0.000135 0.000050
k224 0.001793 0.001739 0.000076 0.000042
k225 0.000145 0.000334 0.000003 0.000002
k226 0.003185 0.006164 0.000810 0.001621
k227 0.003094 0.006166 0.000807 0.001621
k228 -0.000005 0.000163 0.000001 0.000000
k229 0.000117 0.000215 0.000001 0.000002
k230 0.000039 0.000205 0.000001 0.000001
k231 -0.000041 0.000088 0.000000 0.000000
k232 -0.000291 0.000617 0.000011 0.000006
k233 0.000267 0.000796 0.000015 0.000005
k234 0.000266 0.001135 0.000030 0.000014
k235 0.002584 0.004264 0.000394 0.000707
k236 0.000029 0.000072 0.000000 0.000000
k237 0.000005 0.000007 0.000000 0.000000
k238 0.000010 0.000230 0.000001 0.000002
k239 -0.000003 0.000023 0.000000 0.000000
k240 -0.000090 0.000338 0.000003 0.000002
k241 0.000000 0.000000 0.000000 0.000000
k242 -0.000368 0.000613 0.000009 0.000018
k243 -0.000022 0.000158 0.000000 0.000001
k244 0.000802 0.001088 0.000030 0.000010
k245 -0.000545 0.001625 0.000071 0.000026
k246 0.000005 0.000035 0.000000 0.000000
k247 -0.000183 0.000396 0.000006 0.000003
k248 0.004128 0.006443 0.000958 0.001644
k249 0.000004 0.000011 0.000000 0.000000
k250 -0.000115 0.000218 0.000001 0.000001
k251 0.000131 0.000183 0.000001 0.000001
k252 -0.000043 0.000132 0.000001 0.000000
k253 0.000006 0.000147 0.000001 0.000000
k254 -0.000013 0.000201 0.000002 0.000003
k255 -0.000370 0.000439 0.000006 0.000002
k256 0.000032 0.000137 0.000001 0.000000
k257 0.003074 0.006167 0.000807 0.001621
k258 -0.000003 0.000014 0.000000 0.000000
k259 0.000305 0.000521 0.000007 0.000008
k260 -0.000022 0.000039 0.000000 0.000000
k261 0.000020 0.000083 0.000000 0.000000
k262 0.000187 0.000284 0.000002 0.000001
k263 -0.000051 0.000133 0.000001 0.000000
k264 -0.000006 0.000086 0.000000 0.000000
k265 -0.002236 0.003291 0.000292 0.000170
k266 0.001436 0.001669 0.000080 0.000030
k267 0.000377 0.000674 0.000010 0.000006
k268 0.000180 0.000608 0.000012 0.000011
k269 0.000068 0.000162 0.000001 0.000001
k270 -0.000144 0.000230 0.000001 0.000001
k271 0.000013 0.000401 0.000005 0.000006
k272 0.000093 0.000411 0.000003 0.000002
k273 0.000843 0.001690 0.000069 0.000138
k274 0.000249 0.001265 0.000042 0.000032
k275 0.003433 0.006228 0.000822 0.001622
k276 -0.000492 0.001949 0.000108 0.000048
k277 0.000202 0.001406 0.000052 0.000028
k278 0.000017 0.000102 0.000000 0.000000
k279 0.000002 0.000010 0.000000 0.000000
k280 -0.000281 0.001037 0.000028 0.000024
k281 0.003781 0.006212 0.000829 0.001621
k282 -0.000030 0.000040 0.000000 0.000000
k283 0.000002 0.000024 0.000000 0.000000
k284 -0.000019 0.000081 0.000001 0.000001
k285 0.000004 0.000007 0.000000 0.000000
k286 -0.002124 0.002684 0.000178 0.000096
k287 -0.000087 0.000339 0.000002 0.000001
k288 0.000865 0.004169 0.000405 0.000080
k289 0.000022 0.000033 0.000000 0.000000
k290 0.000340 0.004815 0.000795 0.000359
