Parameter S1 S1_conf ST ST_conf
k131 0.000001 0.000001 0.000000 0.000000
k132 0.000000 0.000001 0.000000 0.000000
k133 -0.000004 0.000011 0.000000 0.000000
k134 0.000000 0.000001 0.000000 0.000000
k135 -0.000004 0.000014 0.000000 0.000000
k136 -0.000014 0.000338 0.000005 0.000001
k137 0.000002 0.000007 0.000000 0.000000
k138 0.001618 0.002638 0.000163 0.000150
k139 0.000064 0.000903 0.000031 0.000014
k140 0.001192 0.001874 0.000164 0.000053
k141 0.000011 0.000022 0.000000 0.000000
k142 0.000007 0.000388 0.000007 0.000003
k143 0.000000 0.000003 0.000000 0.000000
k144 -0.000001 0.000002 0.000000 0.000000
k145 -0.000011 0.000026 0.000000 0.000000
k146 -0.000013 0.000054 0.000000 0.000000
k147 -0.000001 0.000027 0.000000 0.000000
k148 -0.000200 0.000490 0.000011 0.000006
k149 0.000029 0.000057 0.000000 0.000000
k150 -0.000045 0.000686 0.000023 0.000009
k151 -0.000002 0.000008 0.000000 0.000000
k152 0.000001 0.000001 0.000000 0.000000
k153 0.000000 0.000001 0.000000 0.000000
k154 0.000007 0.000008 0.000000 0.000000
k155 -0.000003 0.000006 0.000000 0.000000
k156 -0.000056 0.000111 0.000000 0.000001
k157 -0.000025 0.000615 0.000013 0.000005
k158 -0.000040 0.000059 0.000000 0.000000
k159 -0.001423 0.002668 0.000220 0.000125
k160 0.000737 0.001758 0.000121 0.000046
k161 -0.001713 0.003768 0.000484 0.000349
k162 -0.000020 0.000032 0.000000 0.000000
k163 -0.000535 0.000579 0.000013 0.000007
k164 -0.000011 0.000032 0.000000 0.000000
k165 -0.000996 0.001903 0.000128 0.000245
k166 -0.000034 0.000099 0.000000 0.000000
k167 0.000022 0.000178 0.000002 0.000003
k168 -0.000042 0.000128 0.000001 0.000001
k169 -0.000842 0.000568 0.000013 0.000004
k170 -0.000121 0.000252 0.000003 0.000004
k171 -0.000163 0.001112 0.000064 0.000027
k172 -0.000012 0.000033 0.000000 0.000000
k173 -0.001832 0.003579 0.000853 0.001669
k174 0.000077 0.000149 0.000002 0.000004
k175 0.000051 0.000098 0.000001 0.000001
k176 0.000027 0.000065 0.000000 0.000000
k177 -0.000027 0.000088 0.000001 0.000001
k178 -0.000223 0.001070 0.000068 0.000049
k179 0.000291 0.001434 0.000109 0.000058
k180 -0.000038 0.000268 0.000004 0.000003
k181 0.000805 0.008146 0.003125 0.000509
k182 0.000000 0.000000 0.000000 0.000000
k183 0.000132 0.000224 0.000002 0.000001
k184 -0.000064 0.000872 0.000040 0.000019
k185 0.000336 0.000433 0.000009 0.000005
k186 -0.000269 0.000400 0.000011 0.000009
k187 -0.000111 0.000468 0.000011 0.000006
k188 -0.000551 0.000874 0.000036 0.000012
k189 0.000068 0.000324 0.000006 0.000002
k190 -0.000538 0.001434 0.000136 0.000049
k191 -0.000250 0.000950 0.000037 0.000013
k192 0.000123 0.004416 0.000866 0.000204
k193 0.000538 0.002258 0.000137 0.000057
k194 -0.000164 0.000170 0.000002 0.000001
k195 0.000010 0.000009 0.000000 0.000000
k196 0.000037 0.000093 0.000000 0.000000
k197 -0.000011 0.000055 0.000000 0.000000
k198 -0.000007 0.000091 0.000001 0.000001
k199 -0.000455 0.000774 0.000021 0.000012
k200 0.001175 0.001060 0.000056 0.000070
k201 0.000088 0.000334 0.000003 0.000003
k202 0.000000 0.000000 0.000000 0.000000
k203 0.001388 0.008180 0.003018 0.000557
k204 0.000009 0.000368 0.000005 0.000003
k205 -0.001167 0.001631 0.000266 0.000416
