Parameter S1 S1_conf ST ST_conf
k131 -0.000000 0.000000 0.000000 0.000000
k132 -0.000001 0.000001 0.000000 0.000000
k133 -0.000004 0.000008 0.000000 0.000000
k134 -0.000000 0.000000 0.000000 0.000000
k135 0.000008 0.000030 0.000000 0.000000
k136 0.000060 0.000648 0.000036 0.000013
k137 -0.000001 0.000006 0.000000 0.000000
k138 -0.000795 0.003332 0.000979 0.000282
k139 0.000819 0.001360 0.000143 0.000051
k140 -0.002492 0.003789 0.000882 0.000239
k141 -0.000027 0.000073 0.000000 0.000000
k142 -0.000064 0.000655 0.000037 0.000018
k143 -0.000001 0.000004 0.000000 0.000000
k144 0.000000 0.000003 0.000000 0.000000
k145 0.000003 0.000015 0.000000 0.000000
k146 0.000026 0.000077 0.000000 0.000000
k147 -0.000004 0.000045 0.000000 0.000000
k148 0.000268 0.000948 0.000058 0.000020
k149 -0.000112 0.000101 0.000001 0.000000
k150 0.000237 0.001503 0.000132 0.000034
k151 -0.000007 0.000009 0.000000 0.000000
k152 -0.000000 0.000001 0.000000 0.000000
k153 -0.000000 0.000001 0.000000 0.000000
k154 -0.000024 0.000025 0.000000 0.000000
k155 0.000009 0.000014 0.000000 0.000000
k156 0.000033 0.000055 0.000000 0.000000
k157 0.000638 0.001496 0.000154 0.000055
k158 0.000063 0.000159 0.000002 0.000002
k159 0.001398 0.004492 0.001370 0.000411
k160 0.002818 0.004770 0.001157 0.000306
k161 0.005197 0.006787 0.003485 0.000973
k162 0.000078 0.000098 0.000000 0.000000
k163 0.001039 0.001487 0.000112 0.000039
k164 0.000142 0.000152 0.000001 0.000001
k165 -0.002332 0.004309 0.000885 0.001637
k166 0.000364 0.000496 0.000007 0.000007
k167 0.000020 0.000357 0.000022 0.000034
k168 0.000205 0.000326 0.000011 0.000012
k169 -0.000212 0.001293 0.000139 0.000061
k170 0.000219 0.000398 0.000010 0.000004
k171 0.001091 0.003165 0.000595 0.000176
k172 0.000007 0.000203 0.000003 0.000003
k173 -0.001386 0.002777 0.000279 0.000558
k174 -0.000350 0.000692 0.000031 0.000062
k175 0.000051 0.000240 0.000004 0.000003
k176 -0.000034 0.000110 0.000001 0.000001
k177 0.000043 0.000150 0.000001 0.000001
k178 -0.000176 0.001894 0.000148 0.000079
k179 -0.001435 0.002039 0.000247 0.000106
k180 -0.000081 0.000456 0.000025 0.000018
k181 0.007236 0.012147 0.008822 0.001937
k182 0.000000 0.000000 0.000000 0.000000
k183 0.000068 0.000291 0.000006 0.000003
k184 0.000035 0.001712 0.000223 0.000074
k185 -0.000670 0.000797 0.000040 0.000019
k186 0.000235 0.000866 0.000046 0.000071
k187 0.000188 0.001208 0.000059 0.000042
k188 0.000151 0.001259 0.000092 0.000038
k189 -0.000113 0.000481 0.000015 0.000009
k190 0.000617 0.003853 0.000589 0.000249
k191 0.000981 0.001454 0.000170 0.000082
k192 0.003771 0.009030 0.005164 0.001573
k193 -0.000424 0.003747 0.000943 0.000340
k194 0.000137 0.000237 0.000003 0.000001
k195 -0.000009 0.000019 0.000000 0.000000
k196 -0.000018 0.000279 0.000006 0.000006
k197 0.000004 0.000076 0.000000 0.000000
k198 -0.000085 0.000152 0.000001 0.000001
k199 0.000163 0.000882 0.000051 0.000020
k200 -0.000954 0.001418 0.000181 0.000240
